iter	Passed	Remaining
759	24903	7864
760	24931	7829
761	24973	7800
762	24995	7763
763	25027	7730
764	25055	7696
765	25088	7664
766	25115	7629
767	25148	7596
768	25184	7565
769	25210	7530
770	25233	7494
771	25264	7461
772	25293	7427
773	25319	7392
774	25351	7360
775	25383	7327
776	25419	7295
777	25449	7261
778	25476	7227
779	25501	7192
780	25529	7158
781	25560	7125
782	25599	7094
783	25633	7062
784	25669	7030
785	25700	6997
786	25731	6964
787	25771	6933
788	25799	6899
789	25831	6866
790	25873	6836
791	25907	6803
792	25945	6772
793	25985	6741
794	26034	6713
795	26064	6679
796	26096	6647
797	26127	6613
798	26164	6582
799	26193	6548
800	26224	6515
801	26256	6482
802	26293	6450
803	26319	6416
804	26344	6381
805	26380	6349
806	26409	6315
807	26438	6282
808	26473	6250
809	26504	6217
810	26533	6183
811	26563	6150
812	26593	6116
813	26618	6082
814	26644	6048
815	26672	6014
816	26703	5981
817	26763	5954
818	26800	5923
819	26837	5891
820	26869	5858
821	26891	5823
822	26919	5789
823	26950	5756
824	26985	5724
825	27009	5689
826	27038	5656
827	27070	5623
828	27107	5591
829	27142	5559
830	27172	5526
831	27206	5493
832	27233	5459
833	27269	5427
834	27304	5395
835	27334	5362
836	27376	5331
837	27405	5298
838	27437	5265
839	27474	5233
840	27521	5203
841	27551	5170
842	27590	5138
843	27618	5104
844	27691	5079
845	27758	5052
846	27833	5027
847	27871	4995
848	27901	4962
849	27963	4934
850	27993	4901
851	28017	4866
852	28053	4834
853	28083	4801
854	28110	4767
855	28139	4733
856	28171	4700
857	28196	4666
858	28224	4632
859	28262	4600
860	28284	4566
861	28318	4533
862	28342	4499
863	28375	4466
864	28404	4433
865	28440	4400
866	28475	4368
867	28505	4334
868	28535	4301
869	28566	4268
870	28602	4236
871	28631	4202
872	28668	4170
873	28693	4136
874	28729	4104
875	28760	4071
876	28790	4037
877	28818	4004
878	28857	3972
879	28886	3939
880	28919	3906
881	28945	3872
882	28974	3839
883	29009	3806
884	29039	3773
885	29072	3740
886	29100	3707
887	29128	3673
888	29160	3640
889	29188	3607
890	29218	3574
891	29253	3541
892	29285	3509
893	29319	3476
894	29360	3444
895	29388	3411
896	29426	3378
897	29455	3345
898	29497	3313
899	29520	3280
900	29562	3248
901	29592	3215
902	29618	3181
